accession,ref_f_unweighted,ref_f_weighted,n_matches
DRR163685,0.25060755141918045,0.5929443355933637,9152
DRR163687,0.37931802618619664,0.6162675381345064,22678
ERR10736386,0.3717021039741124,0.8755121149583429,3637
ERR1467147,0.6620421865827608,0.752128694500998,10648
ERR1470822,0.6591549906733052,0.7512258123507023,10238
ERR1512994,0.6741603678014028,0.7306639812605354,6297
ERR1512997,0.671215880892761,0.7340354741745256,5862
ERR1513006,0.6771989189424805,0.7477219380078243,9901
ERR1513007,0.6899937184464635,0.7758573325397189,8914
ERR1525434,0.7002441218038523,0.7538168746035102,3863
ERR1525436,0.6892328861368848,0.7530845275500039,6628
ERR1525443,0.6983026308265514,0.7802405278632748,10915
ERR1543776,0.7101572739185931,0.7761340849759751,3155
ERR1543794,0.7843337949303059,0.8177477944992216,3363
ERR1620360,0.8858620408825432,0.9752991044948859,4660
ERR1726689,0.2560706790529238,0.2609208442526803,44442
ERR1736742,0.8131170662904496,0.8566265523472644,2353
ERR1736747,0.8200542184605166,0.8851653681279139,4428
ERR1868847,0.18852960819192707,0.1998304969828463,5854
ERR1868853,0.312827499475845,0.4516496770036513,4173
ERR1868857,0.2973088423750199,0.8847710973851395,1704
ERR1869528,0.4436551322242709,0.9149954798187201,13206
ERR1869530,0.38089767356790627,0.4923767889292999,7084
ERR1877477,0.8091743119265818,0.9668180598673872,1423
ERR1877478,0.7896868671132256,0.973720716088064,1622
ERR1877481,0.7459372485919193,0.9811107964054896,1999
ERR2044644,0.8037316110511417,0.8644988430154671,3208
ERR209195,0.9051834470988839,0.9518451300665457,1206
ERR2114805,0.4658907582386084,0.5875478004923891,23613
ERR2114812,0.4514761410546476,0.6820629612098733,19695
ERR2135519,0.28952822064025924,0.6521065508804577,45120
ERR2144872,0.3039276693871452,0.4841751388353389,5114
ERR2200478,0.6419332596754413,0.6792735363983522,22469
ERR2241633,0.5102216451258936,0.7356743182977368,55509
ERR2241676,0.6211572802643821,0.8154760964997927,33177
ERR2241701,0.6057749053586212,0.8206468846236731,21599
ERR2241714,0.5905769538751686,0.7411370239907095,49073
ERR2241715,0.6365086217226977,0.7677856120842664,25530
ERR2241717,0.5694148568262265,0.7475785808240412,46415
ERR2241722,0.5856777027453826,0.6718099618609568,43334
ERR2241732,0.5552837789968467,0.8633141918982704,15076
ERR2241760,0.6626323369630209,0.870544930642795,26604
ERR2241791,0.44717661458346614,0.8944323235443657,15620
ERR2241825,0.0944214237474289,nan,195
ERR2241858,0.6420756826127791,0.8000563170468067,25817
ERR2241862,0.589524171008298,0.8002307141450217,37993
ERR2241911,0.5050186782108084,0.8707671093996091,19920
ERR2241945,0.5888590946814283,0.8791692162997529,24030
ERR2241955,0.4712354959037328,0.7426024061206042,19416
ERR2241961,0.3064289902205625,nan,1253
ERR2241969,0.6247135470413698,0.7486468225026283,28121
ERR2241980,0.6665149345330172,0.7601085924410569,26537
ERR2486211,0.23293172690762984,0.9593736311870346,55
ERR2486297,0.23412698412697477,0.9620870671827775,113
ERR2486357,0.217603911980438,0.8618451553082985,86
ERR2538418,0.6951794385876979,0.6192348824871793,8394
ERR2538464,0.5722880906032639,0.6684161778326644,2250
ERR2538501,0.7118618159583064,0.6638086374527237,4162
ERR2538511,0.6298159671652677,0.7442522362682044,1589
ERR2592264,0.14233264020357428,nan,392
ERR2592274,0.586004781055814,0.6611762614506891,35932
ERR2592279,0.5703374926717771,0.6835606110513333,37944
ERR2592280,0.5626892126163134,0.7063792881922139,45827
ERR2592337,0.6218844656519759,0.7193955146076279,33803
ERR2592341,0.5718967493077562,0.699802411284582,26686
ERR2592342,0.4909626467208007,0.6849751652969562,51264
ERR2597331,0.6409867390897003,0.8153092664911302,31232
ERR2597356,0.43114988260889203,nan,6910
ERR2597380,0.6182848212537272,0.7524867774464878,30832
ERR2597468,0.5955144941334104,0.7065185514540329,27430
ERR2597511,0.2642561525229906,nan,3245
ERR2607372,0.5556090665972528,0.7184109455627901,39531
ERR2607383,0.5962002831051778,0.7585708888071351,25730
ERR2607386,0.6234167777697153,0.7525987166404344,35690
ERR2607419,0.6713144324188138,0.7361209874034945,10454
ERR2607426,0.1889562893131759,nan,637
ERR2607439,0.5671112464911449,0.6355498309450974,25593
ERR2607464,0.5813715676598772,0.6427862147231045,25871
ERR2607476,0.6079849878152848,0.6467170963004177,22751
ERR2607480,0.1495718580803551,nan,293
ERR2607482,0.6325033902885999,0.7193769395515538,18358
ERR2607486,0.5938747791624239,0.8817675914257185,30689
ERR2607489,0.6119234778683853,0.7312312196625318,26811
